reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
24;Vague 17 : 4-6 nov.;14,5;8,6;23,5;18,3;11,4;27,9;69,6;59,1;78,4;;;
27;Vague 17 : 4-6 nov.;23,0;15,3;33,1;21,6;14,3;31,4;55,3;44,9;65,2;;;
28;Vague 17 : 4-6 nov.;33,1;24,1;43,6;20,8;13,5;30,8;69,0;58,7;77,7;;;
32;Vague 17 : 4-6 nov.;23,7;18,2;30,3;25,9;20,2;32,6;70,3;63,5;76,3;;;
44;Vague 17 : 4-6 nov.;21,9;16,2;29,0;20,4;14,9;27,3;53,3;45,5;61,0;;;
52;Vague 17 : 4-6 nov.;22,4;15,8;30,8;18,0;12,1;25,9;67,8;59,0;75,5;;;
53;Vague 17 : 4-6 nov.;22,8;15,8;31,8;20,4;13,7;29,1;62,8;53,3;71,4;;;
75;Vague 17 : 4-6 nov.;20,5;15,4;26,9;25,4;19,7;32,2;68,0;60,9;74,3;;;
76;Vague 17 : 4-6 nov.;16,5;11,5;22,9;16,5;11,7;22,6;64,1;56,8;70,8;;;
84;Vague 17 : 4-6 nov.;17,9;13,6;23,4;17,5;13,2;22,8;55,9;49,5;62,1;;;
93;Vague 17 : 4-6 nov.;25,1;19,0;32,3;23,1;17,3;30,1;65,7;58,3;72,5;;;
11;Vague 18 : 23-25 nov.;18,4;14,8;22,7;22,7;18,7;27,3;71,3;66,5;75,7;;;
24;Vague 18 : 23-25 nov.;15,4;9,4;24,1;17,3;10,9;26,3;70,1;59,7;78,7;;;
27;Vague 18 : 23-25 nov.;16,4;10,2;25,2;18,6;11,8;28,2;66,1;56,1;74,9;;;
28;Vague 18 : 23-25 nov.;21,9;14,6;31,4;18,6;12,1;27,6;66,5;56,6;75,2;;;
32;Vague 18 : 23-25 nov.;25,7;20,0;32,4;27,9;21,9;34,8;71,8;64,6;78,0;;;
44;Vague 18 : 23-25 nov.;18,5;13,1;25,6;26,1;19,6;33,8;60,3;52,3;67,7;;;
52;Vague 18 : 23-25 nov.;10,1;5,8;17,1;19,8;13,6;27,9;58,9;50,0;67,3;;;
